C28992R100;score
E1202N4820;-3,00
E1203N4820;-3,94
E1204N4820;-4,27
E1205N4820;-6,65
E1206N4820;-7,61
E1207N4820;-8,09
E1208N4820;-6,84
E1209N4820;-3,26
E1210N4820;-0,27
E1261N4820;-0,35
E1262N4820;-0,35
E1263N4820;-0,35
E1266N4820;-2,11
E1267N4820;-2,11
E1268N4820;-2,46
E1269N4820;-0,80
E1270N4820;-0,80
E1271N4820;-0,80
E1272N4820;-0,35
E1273N4820;-0,69
E1274N4820;-0,69
E1275N4820;-0,69
E1162N4821;-0,48
E1163N4821;-1,12
E1164N4821;-1,12
E1165N4821;-1,12
E1166N4821;-0,48
E1188N4821;-0,41
E1189N4821;-1,08
E1190N4821;-1,26
E1191N4821;-1,40
E1192N4821;-0,72
E1193N4821;-0,14
E1194N4821;-6,52
E1195N4821;-15,22
E1196N4821;-18,83
E1197N4821;-17,74
E1198N4821;-10,39
E1199N4821;-3,55
E1200N4821;-2,66
E1201N4821;-2,39
E1202N4821;-3,27
E1203N4821;-5,04
E1204N4821;-6,07
E1205N4821;-6,80
E1206N4821;-8,32
E1207N4821;-8,61
E1208N4821;-6,77
E1209N4821;-3,86
E1210N4821;-1,19
E1211N4821;-0,22
E1268N4821;-0,35
E1269N4821;-0,80
E1270N4821;-1,15
E1271N4821;-0,80
E1272N4821;-1,04
E1273N4821;-1,61
E1274N4821;-1,61
E1275N4821;-1,61
E1276N4821;-0,69
E1162N4822;-0,48
E1163N4822;-1,12
E1164N4822;-1,60
E1165N4822;-1,12
E1166N4822;-0,48
E1188N4822;-0,41
E1189N4822;-1,08
E1190N4822;-1,67
E1191N4822;-1,26
E1192N4822;-0,72
E1193N4822;-0,14
E1194N4822;-2,97
E1195N4822;-10,49
E1196N4822;-12,01
E1197N4822;-13,00
E1198N4822;-5,76
E1199N4822;-3,55
E1200N4822;-2,93
E1201N4822;-1,98
E1202N4822;-4,23
E1203N4822;-5,82
E1204N4822;-6,15
E1205N4822;-7,18
E1206N4822;-6,74
E1207N4822;-6,13
E1208N4822;-6,06
E1209N4822;-3,26
E1210N4822;-2,56
E1211N4822;-1,87
E1212N4822;-1,57
E1268N4822;-0,35
E1269N4822;-0,80
E1270N4822;-0,80
E1271N4822;-0,80
E1272N4822;-1,04
E1273N4822;-1,61
E1274N4822;-2,30
E1275N4822;-1,61
E1276N4822;-0,69
E1162N4823;-0,48
E1163N4823;-1,12
E1164N4823;-1,12
E1165N4823;-1,12
E1166N4823;-0,48
E1188N4823;-0,41
E1189N4823;-0,95
E1190N4823;-1,08
E1191N4823;-1,08
E1192N4823;-0,54
E1194N4823;-0,45
E1195N4823;-3,57
E1196N4823;-3,57
E1197N4823;-4,65
E1198N4823;-1,80
E1199N4823;-1,71
E1200N4823;-1,04
E1201N4823;-1,31
E1202N4823;-2,40
E1203N4823;-3,76
E1204N4823;-4,45
E1205N4823;-3,72
E1206N4823;-2,97
E1207N4823;-3,20
E1208N4823;-2,69
E1209N4823;-3,48
E1210N4823;-4,59
E1211N4823;-3,68
E1212N4823;-3,38
E1213N4823;-1,83
E1214N4823;-0,48
E1215N4823;-0,48
E1269N4823;-0,35
E1270N4823;-0,35
E1271N4823;-0,35
E1272N4823;-0,69
E1273N4823;-1,61
E1274N4823;-1,61
E1275N4823;-1,61
E1276N4823;-0,69
E1163N4824;-0,48
E1164N4824;-0,48
E1165N4824;-0,48
E1189N4824;-0,41
E1190N4824;-0,41
E1191N4824;-0,41
E1195N4824;-0,45
E1196N4824;-0,45
E1197N4824;-0,67
E1198N4824;-0,22
E1199N4824;-0,50
E1200N4824;-0,68
E1201N4824;-0,95
E1202N4824;-1,72
E1203N4824;-2,51
E1204N4824;-2,24
E1205N4824;-1,88
E1206N4824;-0,69
E1207N4824;-0,69
E1208N4824;-0,91
E1209N4824;-2,56
E1210N4824;-3,68
E1211N4824;-5,03
E1212N4824;-3,86
E1213N4824;-2,47
E1214N4824;-1,12
E1215N4824;-1,12
E1216N4824;-0,48
E1273N4824;-0,69
E1274N4824;-0,69
E1275N4824;-0,69
E1188N4825;-0,29
E1189N4825;-0,29
E1190N4825;-0,29
