ZAAKNAAM;ACTIVENQ;XCOORD;YCOORD;WERKOPP;MAARTJE;score;scorem2;
Banketbakkerij Damman;47241;118440;484964;53;Bakery;1,2;1,0;
Mylène Thjong;47241;122169;484238;53;Bakery;1,2;1,0;
Bakkerij Balvert;47241;123843;485260;53;Bakery;1,2;1,0;
Gelato & Cioccolatio B.V.;47241;121311;487156;53;Bakery;1,2;1,0;
Stefs Bakery, Pastry and More B.V.;47241;121024;486267;53;Bakery;1,2;1,0;
Japanese Pancake World Amsterdam B.V.;56101;120610;487739;53;Bakery;1,2;1,0;
Vlaai Company t.h.o.d.n. Multi-Vlaai;47241;124659;490097;54;Bakery;1,2;1,0;
NL Brood;47241;121457;484486;59;Bakery;1,2;1,0;
Broodbakker Mensink B.V.;47241;119943;486716;59;Bakery;1,2;1,0;
Pancakes Beren;56101;120678;487074;59;Bakery;1,2;1,0;
Brood- en Banketbakkerij Afrah Fes;47241;124156;486284;60;Bakery;1,2;1,0;
Fanous B.V.;47241;121348;486945;60;Bakery;1,2;2,0;
Sasalin Kalverstraat B.V.;47241;119782;488174;60;Bakery;1,2;2,0;
Huize van Wely, sinds 1922;47241;120221;484567;62;Bakery;1,2;2,0;
Bakkerij Windhouwer B.V.;47241;120779;491982;62;Bakery;1,2;2,0;
Banketbakkerij Nador B.V.;47241;116778;485371;62;Bakery;1,2;2,0;
Croissanterie-Tearoom 'Jenniffer';56102;120869;487453;64;Bakery;1,2;2,0;
Molen Bakkerij;47241;121748;486073;66;Bakery;1,2;2,0;
Broodje de Leeuw;47241;124851;489294;70;Bakery;1,2;2,0;
Croissanterie Outmayer;56102;121226;486829;71;Bakery;1,2;2,0;
Damen & van Toor B.V.;47241;115401;485846;72;Bakery;1,2;2,0;
M.G.T. Doeleman h.o.d.n. Bakkerij Bart;47241;121287;486763;73;Bakery;1,2;2,0;
De Bakkerswinkel Oud-Zuid;47241;120797;485033;75;Bakery;1,2;2,0;
Abusefin B.V.;47241;121615;487528;75;Bakery;1,2;2,0;
sugar 'N bakery;47241;121145;487504;77;Bakery;1,2;2,0;
Banket Bakkerij Noord;56102;122740;488484;82;Bakery;1,2;2,0;
Del Gelato;47241;121489;488013;84;Bakery;1,2;2,0;
Bakkerij Balvert;47241;123767;485538;87;Bakery;1,2;2,0;
Banketbakkerij Daraa;47241;116537;488336;90;Bakery;1,2;2,0;
Van den Bor - Koelewijn B.V.;47241;123916;485194;94;Bakery;1,2;2,0;
